
2024/07/20 (09:45:44) | ===> btop++ v.1.3.2
2024/07/20 (09:45:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/20 (14:26:20) | ===> btop++ v.1.3.2
2024/07/20 (14:26:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/20 (14:47:09) | ===> btop++ v.1.3.2
2024/07/20 (14:47:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/20 (14:47:14) | ===> btop++ v.1.3.2
2024/07/20 (14:47:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/20 (20:01:32) | ===> btop++ v.1.3.2
2024/07/20 (20:01:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/20 (20:37:31) | ===> btop++ v.1.3.2
2024/07/20 (20:37:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/25 (17:59:29) | ===> btop++ v.1.3.2
2024/07/25 (17:59:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/08/18 (13:15:24) | ===> btop++ v.1.3.2
2024/08/18 (13:15:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
